,PassengerId,Survived,Sex,Age,Fare,Pclass_1,Pclass_2,Pclass_3,Family_size,Title_1,Title_2,Title_3,Title_4,Emb_1,Emb_2,Emb_3
0,1,0,1,0.275,0.01415105756,0,0,1,0.1,1,0,0,0,0,0,1
1,2,1,0,0.475,0.1391357354,1,0,0,0.1,1,0,0,0,1,0,0
2,3,1,0,0.325,0.01546856982,0,0,1,0,0,0,0,1,0,0,1
3,4,1,0,0.4375,0.1036442975,1,0,0,0.1,1,0,0,0,0,0,1
4,5,0,1,0.4375,0.01571255357,0,0,1,0,1,0,0,0,0,0,1
5,6,0,1,0.35,0.01650950209,0,0,1,0,1,0,0,0,0,1,0
6,7,0,1,0.675,0.1012288583,1,0,0,0,1,0,0,0,0,0,1
7,8,0,1,0.025,0.04113566043,0,0,1,0.4,0,0,1,0,0,0,1
8,9,1,0,0.3375,0.02173075437,0,0,1,0.2,1,0,0,0,0,0,1
9,10,1,0,0.175,0.05869429265,0,1,0,0.1,1,0,0,0,1,0,0
10,11,1,0,0.05,0.03259622914,0,0,1,0.2,0,0,0,1,0,0,1
11,12,1,0,0.725,0.05182214873,1,0,0,0,0,0,0,1,0,0,1
12,13,0,1,0.25,0.01571255357,0,0,1,0,1,0,0,0,0,0,1
13,14,0,1,0.4875,0.06104473452,0,0,1,0.6,1,0,0,0,0,0,1
14,15,0,0,0.175,0.01533037742,0,0,1,0,0,0,0,1,0,0,1
15,16,1,0,0.6875,0.03122992014,0,1,0,0,1,0,0,0,0,0,1
16,17,0,1,0.025,0.056848214,0,0,1,0.5,0,0,1,0,0,1,0
17,18,1,1,0.35,0.02537431011,0,1,0,0,1,0,0,0,0,0,1
18,19,0,0,0.3875,0.03513366015,0,0,1,0.1,1,0,0,0,0,0,1
19,20,1,0,0.35,0.01410226081,0,0,1,0,1,0,0,0,1,0,0
20,21,0,1,0.4375,0.05074862022,0,1,0,0,1,0,0,0,0,0,1
21,22,1,1,0.425,0.02537431011,0,1,0,0,1,0,0,0,0,0,1
22,23,1,0,0.1875,0.01567195467,0,0,1,0,0,0,0,1,0,1,0
23,24,1,1,0.35,0.0692913853,1,0,0,0,1,0,0,0,0,0,1
24,25,0,0,0.1,0.04113566043,0,0,1,0.4,0,0,0,1,0,0,1
25,26,1,0,0.475,0.06126431989,0,0,1,0.6,1,0,0,0,0,0,1
26,27,0,1,0.35,0.01410226081,0,0,1,0,1,0,0,0,1,0,0
27,28,0,1,0.2375,0.5133418123,1,0,0,0.5,1,0,0,0,0,0,1
28,29,1,0,0.35,0.01537917417,0,0,1,0,0,0,0,1,0,1,0
29,30,0,1,0.35,0.01541157521,0,0,1,0,1,0,0,0,0,0,1
30,31,0,1,0.5,0.05410739813,1,0,0,0,1,0,0,0,1,0,0
31,32,1,0,0.35,0.2859895552,1,0,0,0.1,1,0,0,0,1,0,0
32,33,1,0,0.35,0.01512699257,0,0,1,0,0,0,0,1,0,1,0
33,34,0,1,0.825,0.02049463509,0,1,0,0,1,0,0,0,0,0,1
34,35,0,1,0.35,0.1603867201,1,0,0,0.1,1,0,0,0,1,0,0
35,36,0,1,0.525,0.1014972404,1,0,0,0.1,1,0,0,0,0,0,1
36,37,1,1,0.35,0.01411045867,0,0,1,0,1,0,0,0,1,0,0
37,38,0,1,0.2625,0.01571255357,0,0,1,0,1,0,0,0,0,0,1
38,39,0,0,0.225,0.03513366015,0,0,1,0.2,0,0,0,1,0,0,1
39,40,1,0,0.175,0.02194233708,0,0,1,0.1,0,0,0,1,1,0,0
40,41,0,0,0.5,0.01849396833,0,0,1,0.1,1,0,0,0,0,0,1
